토큰,등장연월,len
머신,"['2020-11', '2021-2', '2021-9']",3
교실,"['2019-8', '2020-11', '2021-8']",3
팩스,"['2018-9', '2019-1', '2020-12']",3
가상,"['2013-4', '2016-12', '2017-1']",3
힉엣눙크,"['2018-6', '2018-7', '2019-6']",3
산소,"['2016-4', '2017-1', '2019-8']",3
접촉,"['2017-1', '2020-8', '2021-6']",3
원형,"['2020-8', '2020-9', '2020-11']",3
무광,"['2019-10', '2020-10', '2021-2']",3
지하,"['2015-8', '2018-11', '2019-12']",3
예술,"['2015-6', '2020-6', '2021-1']",3
목걸이,"['2014-8', '2015-1', '2016-2']",3
구성,"['2017-8', '2020-3', '2020-4']",3
활성화,"['2019-10', '2019-11', '2021-11']",3
무대,"['2017-8', '2019-6', '2020-2']",3
거제,"['2015-10', '2017-12', '2018-9']",3
독서실,"['2019-3', '2020-2', '2020-10']",3
응원단,"['2021-3', '2021-4', '2021-12']",3
공업,"['2013-8', '2015-6', '2018-8']",3
시계,"['2019-4', '2019-7', '2019-10']",3
액자,"['2018-11', '2019-8', '2020-1']",3
데스크,"['2020-8', '2021-3', '2021-9']",3
컨덕터,"['2019-1', '2020-6', '2021-4']",3
자율,"['2018-7', '2020-2', '2020-8']",3
축하,"['2014-1', '2014-4', '2018-7']",3
사무국,"['2017-8', '2017-11', '2019-5']",3
서예,"['2018-7', '2021-3', '2021-10']",3
문구,"['2019-2', '2020-7', '2021-7']",3
최종,"['2014-12', '2015-6', '2020-11']",3
독서,"['2019-3', '2020-3', '2021-3']",3
체크,"['2015-11', '2020-10', '2020-11']",3
분야,"['2013-10', '2015-5', '2021-3']",3
선택,"['2015-10', '2017-12', '2018-9']",3
주도,"['2020-7', '2020-10', '2020-11']",3
듀얼,"['2016-11', '2016-12', '2017-2']",3
생회,"['2016-1', '2016-3', '2021-4']",3
원생생물,"['2018-7', '2019-4', '2021-4']",3
기금,"['2016-2', '2018-7', '2020-2']",3
구년,"['2020-1', '2020-2', '2021-1']",3
증원,"['2014-7', '2019-6', '2019-8']",3
요원,"['2016-8', '2021-4', '2021-11']",3
거머리,"['2019-11', '2020-10', '2021-11']",3
패키지,"['2013-11', '2018-11', '2019-12']",3
젠터,"['2018-12', '2019-6', '2019-11']",3
도구,"['2018-2', '2020-6', '2020-8']",3
스토리,"['2013-9', '2013-10', '2021-3']",3
더블,"['2015-9', '2019-4', '2020-3']",3
수리,"['2016-3', '2019-6', '2020-10']",3
살충제,"['2019-6', '2019-7', '2019-8']",3
임자,"['2013-12', '2014-8', '2015-2']",3
프레,"['2017-7', '2018-11', '2019-12']",3
오븐,"['2016-5', '2016-7', '2017-9']",3
백신,"['2013-5', '2015-5', '2017-5']",3
실탄,"['2019-10', '2020-4', '2021-11']",3
통계,"['2013-11', '2014-1', '2015-3']",3
체결,"['2019-7', '2020-2', '2021-1']",3
기후,"['2020-1', '2021-1', '2021-6']",3
출판,"['2019-2', '2019-9', '2020-1']",3
석좌교수,"['2013-5', '2014-4', '2019-5']",3
우산,"['2018-4', '2019-4', '2021-9']",3
고도화,"['2020-7', '2020-8', '2020-11']",3
