물품,토큰,계약금액,계약일
학생복지센터 비품,"['학생복', '센터', '비품']",3720000,2013-01-30
사회복지학과 신임교수(이영수)연구실 사무용집기,"['신임', '교수', '이영수', '연구실', '무용', '집기']",1936380,2013-02-01
2012학년도 전기 우수졸업생 표창 부상품,"['학년', '전기', '우수', '졸업생', '표창', '상품']",5761750,2013-02-05
2013-1학기 조형예술학부 신임교수 연구실 비품,"['학기', '신임', '교수', '연구실', '비품']",1993570,2013-02-05
액정모니터,"['액정', '모니터']",2543660,2013-02-05
전력 및 조명제어 서버 개선(안)에 따른 서버,"['전력', '조명', '제어', '서버', '개선', '서버']",9539200,2013-02-05
2013-1학기 물리학과 신임 교수실 비품,"['학기', '신임', '교수', '비품']",1991660,2013-02-06
점보롤 화장지,"['점보롤', '화장지']",6368000,2013-02-07
공기조화설비 여과필터 제작,"['공기조화', '설비', '여과', '필터', '제작']",4337850,2013-02-08
2013-1학기 해양학과 신임교수 연구실 비품,"['학기', '신임', '교수', '연구실', '비품']",1928640,2013-02-08
2013-1학기 생명과학부 신임교수 연구실 비품,"['학기', '신임', '교수', '연구실', '비품']",1936280,2013-02-12
(총무과)인천대학교 해둥실어린이집 주방용품,"['총무', '인천대학교', '둥실', '어린이집', '주방용품']",7650000,2013-02-12
유지관리에 필요한 자동제어 전동밸브(2WAY)소모품,"['유지관리', '자동', '제어', '밸브', '소모품']",3960000,2013-02-13
(기초교육원) 신임 초빙교원실 비품,"['신임', '초빙', '교원', '비품']",17471160,2013-02-14
물품관리를 위한 RFID 리더기,"['물품', '관리', '리더']",7800000,2013-02-15
(총무과)인천대학교 해둥실 어린이집 잡화,"['총무', '인천대학교', '둥실', '어린이집', '잡화']",2496770,2013-02-20
생활관 홍보용 부직포 가방,"['생활관', '홍보', '부직포', '가방']",1890000,2013-02-26
[사범대학]강의실 책상 및 의자,"['강의실', '책상', '의자']",4822840,2013-03-05
나노바이오전공 실험실습기자재,"['실험실', '습기', '자재']",3922600,2013-03-06
생명과학기술대학 학생회 사물함,"['학생회', '사물함']",4321800,2013-03-06
(제물포캠퍼스) 체육용품,"['제물포', '캠퍼스', '체육', '용품']",1900000,2013-03-07
(학생생활상담소)2013학년도 신입생 적성검사에 따른 검사지,"['학생', '생활', '담소', '학년', '신입생', '적성검사', '검사']",9450000,2013-03-08
공자학원 집기물품,"['공자', '학원', '집기', '물품']",1049040,2013-03-13
정보기술대학 컴퓨터공학부 실험실습기자재(영상미디어 시뮬레이션재생시스템-조달),"['실험실', '습기', '자재', '영상', '미디어', '시뮬레이션', '재생', '시스템', '조달']",5962020,2013-03-13
(재정예산팀)사무용 가구,"['재정', '예산', '무용', '가구']",3349280,2013-03-15
복사기,['복사기'],3414400,2013-03-18
[대회협력팀] 사무용 비품,"['대회', '협력', '무용', '비품']",5704000,2013-03-20
인천대학교 송도캠퍼스 전기 소모자재,"['인천대학교', '송도', '캠퍼스', '전기', '소모', '자재']",9978760,2013-03-20
해양학과 학생용 사물함,"['학생용', '사물함']",1214800,2013-03-20
(체육진흥원)테니스부 운동용품,"['체육', '진흥', '테니스', '운동', '용품']",7855000,2013-03-20
RFID리더기 운영 프로그램,"['리더', '운영', '프로그램']",3740000,2013-03-20
정보기술대학 정보통신공학과 교육용 소프트웨어(MathType 외 11종),"['교육', '소프트웨어']",4800000,2013-03-22
(체육진흥원)축구부 운동용품,"['체육', '진흥', '축구', '운동', '용품']",7760000,2013-03-25
"(도시과학대학)도시환경,도시건축 사물함","['도시', '환경', '도시', '건축', '사물함']",6983640,2013-03-25
(도시과학대학)건설환경공학전공 기자재,"['전공', '자재']",4730000,2013-03-26
건설환경공학전공 지지력 시험장치,"['전공', '지지', '시험', '장치']",16080000,2013-03-26
건설환경공학전공 기자재,"['전공', '자재']",18600000,2013-03-26
자동증명발급기 프린터 소모품,"['자동증', '발급', '프린터', '소모품']",1490720,2013-03-26
사무용집기,"['무용', '집기']",1753400,2013-03-26
[제물포캠퍼스] 스마트폰 충전기,"['제물포', '캠퍼스', '스마트폰', '충전기']",2722500,2013-03-27
(체육진흥원)테니스부 운동용품(유니폼),"['체육', '진흥', '테니스', '운동', '용품', '유니폼']",1358000,2013-03-27
(도시과학대학)도시건축학부 기자재,['자재'],3960000,2013-03-28
(체육진흥원)배드민턴부 운동용품(유니폼),"['체육', '진흥', '배드민턴', '운동', '용품', '유니폼']",2736000,2013-03-28
2013년도 사회과학대학 행정학과 기자재,['자재'],11164950,2013-03-28
(도시과학대학)도시건축학부 기자재,['자재'],7407260,2013-03-28
2013년도 사회과학대학 문헌정보학과 기자재,['자재'],2391840,2013-03-28
(도시과학대학)도시건축학부 교육용소프트웨어,"['교육', '소프트웨어']",6100000,2013-03-28
[시설과] 사무용 비품,"['시설', '무용', '비품']",5854200,2013-03-28
(체육진흥원)배드민턴부 운동용품,"['체육', '진흥', '배드민턴', '운동', '용품']",5276800,2013-03-28
(체육진흥원)펜싱부 운동용품 및 유니폼,"['체육', '진흥', '펜싱', '운동', '용품', '유니폼']",9650000,2013-03-28
(체육진흥원)탁구부 운동용품,"['체육', '진흥', '탁구', '운동', '용품']",4845200,2013-03-28
(도시과학대학)도시건축학부 기자재,['자재'],4774000,2013-03-28
(도시과학대학)건설환경공학전공 기자재,"['전공', '자재']",6380000,2013-04-02
(도시과학대학)도시건축학부 학생회실 비품,"['학생회', '비품']",1683990,2013-04-02
정보기술대학 정보통신공학과 실험실습 기자재(태블릿컴퓨터),"['실험', '실습', '자재', '태블릿', '컴퓨터']",38839240,2013-04-02
정보기술대학 제물포캠퍼스 컴퓨터공학부 실습재료(SSD외 1종),"['제물포', '캠퍼스', '실습', '재료']",3383820,2013-04-04
제물포캠퍼스 도서관 열람실 책걸상,"['제물포', '캠퍼스', '도서관', '열람', '걸상']",33941600,2013-04-05
평생교육원 체육학과 수업에 따른 물품,"['평생교육', '체육', '학과', '수업', '물품']",1364000,2013-04-05
산업경영공학과 서버,['서버'],22220000,2013-04-08
(체육진흥원)태권도부 운동용품,"['체육', '진흥', '태권', '도부', '운동', '용품']",1214400,2013-04-08
(체육진흥원)사격부 운동용품,"['체육', '진흥', '사격', '운동', '용품']",3540000,2013-04-08
평생교육원 전자교탁,"['평생교육', '전자', '교탁']",4464000,2013-04-08
"(학생생활상담소)취업용 인성, 적성검사 실시에 따른 검사지","['학생', '생활', '담소', '취업', '인성', '적성검사', '실시', '검사']",5000000,2013-04-08
전자공학과 SEMCAD가속기,['가속'],11550000,2013-04-09
건설환경공학전공 유속 및 유사량측정기,"['전공', '유속', '사량', '측정기']",15200000,2013-04-09
사격부 유니폼,"['사격', '유니폼']",1692100,2013-04-10
축구부 유니폼,"['축구', '유니폼']",8494000,2013-04-10
대학 탐방 홍보 기념품,"['대학', '탐방', '홍보', '기념품']",3978000,2013-04-11
인공토양,"['인공', '토양']",3657500,2013-04-11
예술체육대학 운동건강학부 재료비,['재료'],2600000,2013-04-11
[예술체육대학] 강의준비실 비품,"['강의', '준비', '비품']",1386470,2013-04-15
행정 및 실험실습실 PC,"['행정', '실험', '실습']",174286090,2013-04-18
"학산도서관 국내,외자료 연간","['학산', '도서관', '국내', '자료', '연간']",382200000,2013-04-22
예비군연대 도시락,"['예비군', '연대', '도시락']",27500000,2013-04-23
도시건설공학전공 전자평판측량시스템,"['도시', '건설', '공학', '전공', '전자', '평판', '측량', '시스템']",11400000,2013-04-24
교육용기자재(인터렉티브화이트보드),"['교육', '용기', '자재', '인터', '렉티브', '화이트보드']",5120500,2013-04-25
양궁부(화살 외) 운동용품,"['양궁', '화살', '운동', '용품']",3880000,2013-04-26
창업지원단 노트북,"['창업', '원단', '노트북']",11662640,2013-04-26
교육용소프트웨어,"['교육', '소프트웨어']",2200000,2013-04-26
교육용소프트웨어,"['교육', '소프트웨어']",2000000,2013-04-26
도시건설공학전공 가상기준점측량시스템,"['도시', '건설', '공학', '전공', '가상', '기준', '측량', '시스템']",25600000,2013-04-29
검도부 운동용품,"['도부', '운동', '용품']",3675000,2013-04-29
인천대학교 내 설치된 정수기 절전규제용 타이머스위치,"['인천대학교', '설치', '정수기', '절전', '규제', '타이머', '스위치']",8584950,2013-04-30
패션산업학과 투습도시험기세트,"['투습', '시험', '세트']",14900000,2013-04-30
인천대학교 창업지원단 맥북,"['인천대학교', '창업', '원단', '맥북']",26554000,2013-05-02
전기공학과 교육용기자재,"['교육', '용기', '자재']",54300000,2013-05-02
수학과 컴퓨터 외 2종,['컴퓨터'],19364000,2013-05-06
배드민턴부 운동용품,"['배드민턴', '운동', '용품']",9312000,2013-05-07
공연예술학과 실험실습기자재,"['실험실', '습기', '자재']",35200000,2013-05-08
교수학습지원팀 문화상품권,"['교수', '학습', '지원', '문화', '상품권']",21820000,2013-05-08
생활원 체육대회 기념타올,"['생활', '체육대회', '기념']",1750000,2013-05-10
디자인학부 교육용기자재,"['교육', '용기', '자재']",96910000,2013-05-16
물리학과 실험재료,"['실험', '재료']",18200000,2013-05-20
(사회과학대학)정치외교학과 석좌교수 연구실 사무용집기,"['석좌교수', '연구실', '무용', '집기']",1984320,2013-05-21
전기공학과 교육용기자재,"['교육', '용기', '자재']",78496000,2013-05-21
컴퓨터공학부 (제물포) 재료,"['제물포', '재료']",2841960,2013-05-23
체육학부 KwonGRF 소프트웨어,['소프트웨어'],14000000,2013-05-23
자동차공학전공 엔진성능실험 수냉각배관장치,"['자동차', '공학', '전공', '엔진', '성능', '실험', '냉각', '배관', '장치']",16600000,2013-05-27
한컴 CLA,['한컴'],37884000,2013-05-27
대학홍보를 위한 지역사회 관련 책자,"['대학', '홍보', '지역', '사회', '관련', '책자']",2300000,2013-05-27
냉각수 수처리제 약품 및 탈취필터,"['냉각수', '수처리', '약품', '탈취', '필터']",9402000,2013-05-28
2013년도 백신 S/W,['백신'],14465000,2013-05-30
액정모니터,"['액정', '모니터']",5318560,2013-05-30
도시건설공학전공 실험실습기자재,"['도시', '건설', '공학', '전공', '실험실', '습기', '자재']",40980000,2013-05-30
메카트로닉스공학전공 MATLAB,['전공'],13750000,2013-05-31
2013년도 MS CA,[],100098900,2013-05-31
학사업무 전산서식,"['학사', '업무', '전산', '서식']",1386000,2013-06-03
도시건축학부 개인용컴퓨터 외 1종,"['개인', '컴퓨터']",17041530,2013-06-04
실험실습기자재,"['실험실', '습기', '자재']",3685000,2013-06-07
캠퍼스 관리를 위한 휴대용 무전기,"['캠퍼스', '관리', '휴대', '무전기']",4589000,2013-06-10
제물포캠퍼스 파고라 및 옥외용벤치,"['제물포', '캠퍼스', '파고라', '옥외', '벤치']",17824960,2013-06-12
AV시스템 빔 프로젝트 램프,"['시스템', '프로젝트', '램프']",9812000,2013-06-13
클립보드,['클립보드'],1930500,2013-06-17
교수학습지원센터 소그룹 학습지원 프로그램 상품권,"['교수', '학습', '지원', '센터', '그룹', '학습', '지원', '프로그램', '상품권']",10420000,2013-06-17
연구실 안전용품,"['연구실', '안전', '용품']",17974100,2013-06-18
강의실 av시스템 설비 예비물품,"['강의실', '시스템', '설비', '예비', '물품']",8928590,2013-06-18
기념품,['기념품'],1193500,2013-06-19
도시환경공학전공 입도분석기,"['도시', '전공', '입도', '석기']",24530000,2013-06-19
전기시설물 소모자재 LED,"['전기', '시설', '소모', '자재']",4372310,2013-06-21
자료정리용품,"['자료', '정리', '용품']",9385000,2013-06-21
비도서(영화dvd)자료,"['비도', '영화', '자료']",7108480,2013-06-24
습식진공청소기 및 카펫청소기,"['진공청소기', '카펫', '청소기']",11880000,2013-06-25
환경공학전공 휴대용CO2분석기,"['전공', '휴대']",10450000,2013-06-25
대학탐방 홍보 기념품,"['대학', '탐방', '홍보', '기념품']",2504000,2013-07-01
(사범대학) 교육용기가재,"['교육', '용기', '가재']",7927550,2013-07-01
노트북,['노트북'],1206480,2013-07-02
운동건강학부 공압식근력강화순환운동세트,"['근력', '강화', '순환', '운동', '세트']",81000000,2013-07-02
기자재,['자재'],8393000,2013-07-02
환경공학전공 악취분석 및 시료채취 시스템,"['전공', '악취', '분석', '시료', '채취', '시스템']",21450000,2013-07-04
체육학과 Motion Capture Camera,"['체육', '학과']",23210000,2013-07-05
베드민턴 운동용품,"['베드민턴', '운동', '용품']",2910000,2013-07-08
퇴비비료,"['퇴비', '비료']",1950000,2013-07-09
축구부 운동용품,"['축구', '운동', '용품']",7705000,2013-07-09
축구부 운동용품,"['축구', '운동', '용품']",5162000,2013-07-10
물리학과 항온항습기,['습기'],23210000,2013-07-12
공공기기원 Surface Profiler,['기원'],60160000,2013-07-12
강의실 무선마이크 송수신기 변경부품,"['강의실', '무선', '마이크', '송수신기', '변경', '부품']",58430500,2013-07-15
홍보대사실 집기류,"['홍보', '사실', '기류']",1920600,2013-07-15
예체능대학 공연예술학과 교육용소프트웨어,"['예체능', '대학', '교육', '소프트웨어']",3630000,2013-07-16
홍보 기념품,"['홍보', '기념품']",3520000,2013-07-16
예술체육대학 디자인학부 소프트웨어,['소프트웨어'],4600000,2013-07-16
전기 소모자재,"['전기', '소모', '자재']",6549950,2013-07-17
2013년 운동부 하계 공통유니폼,"['운동', '공통', '유니폼']",9570000,2013-07-23
레슬링부 운동용품,"['레슬링', '운동', '용품']",1800000,2013-07-24
테니스용품,"['테니스', '용품']",2495400,2013-07-24
축구부 운동용품,"['축구', '운동', '용품']",2015000,2013-07-24
신문방송학과 교육용기자재,"['교육', '용기', '자재']",57000000,2013-07-24
축구용품,"['축구', '용품']",1480000,2013-07-30
강의실 전자교탁 소모성물품,"['강의실', '전자', '교탁', '소모', '물품']",7655890,2013-07-30
졸업증서 용지 및 바인더,"['졸업', '증서', '용지', '바인더']",6700000,2013-07-30
제습기,['제습기'],2200000,2013-07-31
생명과학부 무진동 멀티가스배양기 외 1종,"['진동', '멀티', '가스', '배양기']",10920000,2013-08-02
기초교육원 영어Lab실 액정모니터,"['영어', '액정', '모니터']",13874520,2013-08-05
안전공학과 소프트웨어,['소프트웨어'],6710000,2013-08-05
(생명과학부) 기자재 Dry Bath Heating Block,['자재'],1218800,2013-08-06
(경제학과)기자재(비디오프로젝터외 2종),"['자재', '비디오', '프로젝터']",5396570,2013-08-07
생명공학전공 진탕배양기 외 2종,"['진탕', '배양기']",11330000,2013-08-09
경영학부 전자복사기 외 3종,"['전자', '복사기']",11335880,2013-08-12
화학과 형광분광기,"['형광', '분광기']",26400000,2013-08-13
기자재(무선마이크외 3종),"['자재', '무선', '마이크']",4213000,2013-08-14
(나노바이오전공)기자재(PH Meter Kit외2종),['자재'],8558000,2013-08-14
사회봉사센터 개소를 위한 비품,"['사회', '봉사', '센터', '개소', '비품']",8223360,2013-08-16
물리학과 신규임용교수 비품,"['신규', '임용', '교수', '비품']",1910410,2013-08-19
패션산업학과 공업용 자동사절 재봉기,"['공업', '자동', '사절', '봉기']",12573000,2013-08-19
생활원 데스크톱컴퓨터 외 2종,"['생활', '데스크톱', '컴퓨터']",27236280,2013-08-19
바닥매트,"['바닥', '매트']",1914000,2013-08-22
(생명과학부) 기자재-동물생태영상녹화시스템,"['자재', '동물', '생태', '영상', '녹화', '시스템']",5879000,2013-08-22
기초교육원 영어Lab실 그린PC,"['영어', '그린']",54477000,2013-08-22
전략홍보팀 기념품(티포원),"['전략', '홍보팀', '기념품', '티포']",7760000,2013-08-23
(컴퓨터공학부)기자재-노트북,"['자재', '노트북']",1266800,2013-08-27
독어독문학과 기자재-흑백레이저프린터 외2종,"['자재', '흑백', '레이저', '프린터']",1712180,2013-08-27
(전략홍보팀) 대학홍보용기념품(와인),"['전략', '홍보팀', '대학', '홍보', '기념품', '와인']",4000000,2013-08-27
공동기기원 fe-sem 장비,"['기원', '장비']",1615900,2013-08-27
(컴퓨터공학부)기자재 모니터,"['자재', '모니터']",2614040,2013-08-28
신임교수(전자공학과 정재용) 비품,"['신임', '교수', '정재용', '비품']",1940900,2013-08-28
정보통신공학과 전자복사기 외 1종,"['전자', '복사기']",19695780,2013-08-28
(임베디드시스템공학과 )기자재 컴퓨터,"['자재', '컴퓨터']",10978960,2013-08-29
